name,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,license_notes,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type,full_metadata_download
melbourne-data,Melbourne Data,https://data.melbourne.vic.gov.au,Steve Bennett,City of Melbourne,26/08/2015,Government,"City of Melbourne’s open data platform allows you can access and use a wide variety of publicly accessible council data. By publishing this data, we aim to increase transparency, improve public services and support new economic and social initiatives. The City of Melbourne is a small administrative region in the centre of the much larger urban area of Greater Melbourne",australia local,Creative Commons - Attribution,http://creativecommons.org/licenses/by/3.0/au/deed.en,,"Melbourne, Australia","-37.8136,144.9631",AU,en,active,,Socrata,https://data.melbourne.vic.gov.au/api/,Socrata Open Data API (SODA),https://data.melbourne.vic.gov.au/api/views
melbourne-water,Melbourne Water Open Data Portal,http://data.melbournewater.opendata.arcgis.com,,Melbourne Water Corporation,25/10/2015,Government,"Melbourne Water Corporation supplies drinking and recycled water and manage Melbourne's water supply catchments, sewage treatment and rivers, creeks and major drainage systems.

",melbourne water,Creative Commons - Attribution,http://creativecommons.org/licenses/by/3.0/,,"Melbourne, Australia","-37.81365,144.9633",AU,en,active,,ArcGIS Open Data,,Esri ArcGIS Online,
merton-council,Merton Council,http://www.merton.gov.uk/council/dp-foi/opendata.htm,Merton Council,Merton Council,,,"Open data is about making non-personal information held by government freely available. We are making a range of our data available online so that we can be more transparent and accountable.
This page lists all the data sets that we publish for public re-use. If you build any systems using the data please let us know so we can list them here.
This data is freely re-usable under the same terms as data.gov.uk: Terms and conditions (Data.gov.uk website)",government level.local merton unitedkingdom,ukcrown-withrights,,,"Merton, UK","51.8546355,-1.1648287",GB,en,active,2012-01-16T18:38:57.042Z,,,,
metroboston-datacommon,MetroBoston DataCommon,http://www.metrobostondatacommon.org/,,,,,,unitedstates,,,,"Boston, Massachusetts","42.3604823,-71.0595678",US,en,active,2011-10-21T16:05:28.719Z,,,,
metropolitan-government-of-nashville-and-davison-county,Nashville Open Data Portal,https://data.nashville.gov/,Metropolitan Government of Nashville and Davidson County,Metropolitan Government of Nashville and Davidson County,,Government,Nashville Open Data Portal,city unitedstates,,,,"Nashville, TN","36.1667, -86.7833",US,en,active,,Socrata,,Socrata Open Data API (SODA),
miami-dade-county,Miami-Dade County’s Open Data Portal,https://opendata.miamidade.gov/,Miami-Dade County,Miami-Dade County,,Government,Miami-Dade County’s Open Data Portal,city unitedstates,,,,"Miami-Dade County, FL","25.7753, -80.2089",US,en,active,,Socrata,,Socrata Open Data API (SODA),
michigan_gov,Michigan,"http://www.michigan.gov/som/0,1607,7-192-29938_54272---,00.html",State of Michigan,State of Michigan,,,State of Michigan Data Catalog (USA),ctic unitedstates,,,,"Michigan, United States","43.6211955,-84.6824346",US,en,active,2011-06-27T18:15:59.244Z,,,,
milton_on,"Milton, Ontario",http://icreateopendata.public.esolutionsgroup.ca/,Town of Milton,Town of Milton,,,,canada,,,,"Milton, Ontario","43.5136705,-79.8828165",CA,en,active,2013-12-16T18:01:54.221Z,,,,
"mindbigdata-the-""mnist""-of-brain-digits","MindBigData The ""MNIST"" of Brain Digits",http://www.mindbigdata.com/opendb,David Vivancos,David Vivancos,01/09/2015,Research,"The version 1.02 of the open database contains 1,170,318 brain signals of 2 seconds each, captured with the stimulus of seeing a digit (from 0 to 9) and thinking about it, over the course of almost 2 years between 2014 & 2015, from a single Test Subject David Vivancos. All the signals have been captured using commercial EEGs (not medical grade), NeuroSky MindWave, Emotiv EPOC, Interaxon Muse & Emotiv Insight, covering a total of 19 Brain (10/20) locations.

Size: 1.170.318 brain signals & 386.322.371 Data Points",,Open Data Commons - Attribution Share-alike (Open Database License),,,International,"40.422981,-3.704285",EU,en,active,,,,,
minnesota,Minnesota,http://www.state.mn.us/data/,State of Minnesota,State of Minnesota,,,"Minnesota Open Data Initiative.  This is not directly a data catalog, but an interface that links to many different data sources, all of which have various degrees of quality and varying formats.",ctic unitedstates,,,,"Minnesota, United States","45.9896587,-94.6113288",US,en,active,2011-06-27T18:14:05.057Z,,,,
mississauga_ca,"Mississauga, Ontario",http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,City of Mississauga,City of Mississauga,,,You may send feedback via [email](mailto:eplanbuild.info@mississauga.ca). Adapted the [Vancouver license](http://www.mississauga.ca/file/COM/CityOfMississaugaTermsOfUse.pdf).,canada,,,,"Mississauga, Ontario","43.5892854,-79.6441646",CA,en,active,2011-10-14T20:41:01.826Z,,,,
moers,Moers City Portal,http://www.offenedaten.moers.de/,Moers city government,Moers city government,,,City portal for Moers,level.local eu-official,other-at,,,Moers,"51.4512826,6.6284302",DE,de,active,2013-02-20T14:30:46.076Z,,,,
moldova,Republic of Moldova - Open Data Portal,http://data.gov.md,e-Government Center,e-Government Center,,,Portal providing access to open government data in Moldova,ctic level.national,,,,Moldova,"47.286747,28.5110236",MD,ro,active,2011-06-27T18:15:44.439Z,,,,
montevideo_gub_uy,Montevideo Public Data Catalogue,http://datos.montevideo.gub.uy,Intendencia de Montevideo,Intendencia de Montevideo,,,Montevideo Data Catalogue,ctic,notspecified,,,Montevideo,"-34.9059039,-56.1913569",UY,es,active,2011-06-27T18:14:08.987Z,,,,
montpellier_fr,Territoire Montpellier Numérique - Données publiques ouvertes,http://opendata.montpelliernumerique.fr,Mairie de Montpellier,Mairie de Montpellier,,,France's city of Montpellier's Area OpenData store,level.regional eu-official france,other-nc,,,Montpellier,"43.6112422,3.8767337",FR,fr,active,2011-07-04T13:46:37.848Z,,,,
morocco,Morocco OpenData,http://data.gov.ma/,,,,,Les donnees publiques de l'Administration Marocaine,ctic,,,,Morocco,"31.1728192,-7.3366043",MA,fr,active,2011-06-27T18:13:22.147Z,,,,
morocco_opendataforafrica,Open Data for Morocco,http://morocco.opendataforafrica.org/,African Development Bank Group,African Development Bank Group,,,Open data portal for Morocco,africa,other-at,,,Morocco,"31.1728192,-7.3366043",mAR,en,active,2013-08-29T07:56:33.067Z,,,,
mosman-council-datastore,Mosman Council DATAstore,http://data.mosman.nsw.gov.au/,Mosman Municipal Council,Mosman Municipal Council,,,"This DATAstore is both catalogue and repository for public, machine-readable information published by Mosman Council (New South Wales, Australia) for the purposes of building web services with our community.",ctic australia,cc-by,,,Mosman,"-33.8358812,151.2348696",AU,en,active,2011-07-06T06:09:05.538Z,,,,
mozambique_opendataforafrica,Open Data for Mozambique,http://mozambique.opendataforafrica.org/,African Development Bank Group,African Development Bank Group,,,Open data portal for Mozambique,africa,other-at,,,Mozambique,"-19.302233,34.9144977",moz,en,active,2013-08-29T07:58:34.468Z,,,,
mulhouse,Mulhouse Data Portal,http://www.mulhouse.fr/fr/les-donnees/,City of Mulhouse,City of Mulhouse,,,Launched Oct 2013.  Using the French national open license.,eu-official,other-open,,,Mulhouse,"47.7494188,7.3399355",FR,fr,active,2013-10-30T12:14:18.011Z,,,,
mxabierto-github-io_ng-ckan,datos.gob.mx - Sitio oficial de datos abiertos del Gobierno de la República,http://datos.gob.mx/,Rodolfo Wilhelmy,"Rodolfo Wilhelmy, Director of Open Data",07/07/2014,Government,"DATOS.GOB.MX is the open data portal of the federal government of Mexico.

In addition to providing a data catalog, the site promotes the use of data by sharing success stories of open data projects and tools for exploring data.",mexico federal,Other (Open),http://datos.gob.mx/libreusomx/,,Mexico,"23.6260333,-102.5375005",MX,es,active,,,,,
namibia_opendataforafrica,Open Data for Namibia,http://namibia.opendataforafrica.org/,African Development Bank Group,African Development Bank Group,,,Open data portal for Namibia,africa,other-at,,,Namibia,"-23.2335499,17.3231107",nam,en,active,2013-08-29T08:00:00.713Z,,,,
nanaimo_ca,"Nanaimo, British Columbia",http://data.nanaimo.ca/,City of Nanaimo,City of Nanaimo,,,"Uses [Open Data Publisher](http://opendatapublisher.codeplex.com/), a fork of Microsoft's [OGDI project](http://ogdi.codeplex.com/). The City of Nanaimo is currently investigating options for formal open data licensing. See the [disclaimer](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Licence.html). Offers an [API](http://www.nanaimo.ca/EN/main/departments/106/DataCatalogue/Developers.html).",ctic canada,,,,"Nanaimo, British Columbia","49.1637659,-123.9379793",CA,en,active,2011-06-27T18:14:12.968Z,,,,
nantes_fr,Nantes ouverture des données,http://data.nantes.fr,Mairie de Nantes,Mairie de Nantes,,,France's city of Nantes Area OpenData store,level.regional eu-official france,odc-odbl,,,Nantes,"47.2185155,-1.5545147",FR,fr,active,2011-11-21T12:27:42.862Z,,,,
national-institute-of-statistics-italy,ISTAT,http://dati.istat.it/,ISTAT,ISTAT,,,"the datawarehouse of the italian statistics produced by Istat, a complete and consistent information assets",level.national stats thematic eu-official italy,cc-by,,,Italy,"42.6384261,12.674297",IT,it,active,2011-10-17T17:19:54.006Z,,,,
national-open-data-portal-finland,National Open Data Portal Finland,http://www.avoindata.fi,Margit Suurhasko,The Government ICT Centre Valtori ,14/09/2014,Government,"In the Avoindata.fi service, public administration organisations can save description and availability data – metadata – concerning their available open data. The Avoindata.fi service also acts as a collection point for planning data promoting interoperability in public administration and enables the distribution and reuse of the planning data.",,Creative Commons - Attribution,,Also CC Zero is available,Finland,"64.9146659,26.0672554",FI,fi,active,,,,,
natural-earth,Natural Earth,http://www.naturalearthdata.com/,,,,,"Natural Earth is a map dataset available at 1:10m, 1:50m, and 1:110 million scales, featuring tightly integrated vector and raster data. It was built by many volunteers and is supported by the North American Cartographic Information Society (NACIS).",,other-pd,,,Earth,"0,0",Global,en,active,2011-07-02T14:39:52.051Z,,,,
navarra,Open Data Navarra,http://opendata.navarra.es,,,,,Open Data Catalog of Navarre,ctic level.regional eu-official spain,,,,Navarra,"42.6125241,-1.8310634",ES,es,active,2011-06-27T18:15:00.429Z,,,,
nc-openbook,NC OpenBook,http://www.ncopenbook.gov/NCOpenBook/,State of North Carolina,State of North Carolina,,,,unitedstates,,,,"North Carolina, United States","35.6729639,-79.0392919",US,en,active,2011-10-21T16:14:48.873Z,,,,
nederland,Open Data Nederland,http://opendatanederland.org,Oxyva.nl,Oxyva.nl,,,A community hub for Open Data in the Netherlands.,netherlands,,,,Nederlands (Netherlands),"52.5001698,5.7480821",NL,nl,active,2012-08-01T13:35:27.289Z,,,,
neii-gov-au,National Environmental Information Infrastructure,http://www.neii.gov.au,Stephen Gates,Commonwealth of Australia,17/08/2015,Government,"The National Environmental Information Infrastructure (NEII) is an information platform designed to improve, discovery, access and re-use of nationally significant environmental data. The catalogue is a metadata listing of environmental information datasets and services.",australia environment,Creative Commons - Attribution,http://creativecommons.org/licenses/by/4.0/,,Australia,"-24.7761086,134.755",AU,en,active,,,,,
nevada_county-ca-usa,County of Nevada Open Data Portal,https://data-nevcounty.opendata.arcgis.com/,Alex Friant,County of Nevada,05/04/2018,Government,"The County of Nevada, California, Open Data Portal ",unitedstates nevadacounty california,Creative Commons - Attribution,http://creativecommons.org/licenses/by/4.0/,,"Nevada City, California, United States","39.27,-121.026",US,en,active,2016-01-02T12:00:00Z,ArcGIS Open Data,,Esri ArcGIS Online,
new-orleans-louisiana,"New Orleans, Louisiana",http://data.nola.gov/,City of New Orleans,City of New Orleans,,,data.nola.gov,unitedstates,,,,New-Orleans,"29.9499323,-90.0701156",US,en,active,2011-10-21T16:06:29.648Z,,,,
niagara_region_ca,"Region of Niagara, Ontario",http://www.niagararegion.ca/government/opendata/default.aspx,Regional Municipality of Niagara,Regional Municipality of Niagara,,,"Open data pilot catalog of the Niagara Region of Ontario, Canada

Uses its own license, the [Regional Municipality of Niagara Open Data Agreement](http://www.niagararegion.ca/government/opendata/terms-of-use.aspx).",portal sub-national canada,other-at,,,"Niagara Region, Ontario","43.060197,-79.289053",CA,en,active,2012-09-06T19:59:36.186Z,,,,
niagarafalls_ca,"Niagara Falls, Ontario",http://www.niagarafalls.ca/services/open/data,City of Niagara Falls,City of Niagara Falls,,,You may send [feedback](mailto:opendata@niagarafalls.ca). Adapted the [Vancouver license](http://www.niagarafalls.ca/services/open/terms-and-conditions.aspx). See the [FAQ](http://www.niagarafalls.ca/faq/open-data.faq) and [ideas forum](http://ideas.niagarafalls.ca/forums/102745-data-layers).,canada,,,,"Niagara Falls, Ontario","43.091466,-79.087354",CA,en,active,2011-10-14T20:43:13.62Z,,,,
niederoesterreich,Niederösterrreich Data Portal,http://data.noe.gv.at/,Landesregierung Niederösterreich,Landesregierung Niederösterreich,,,"Dataportal, launched April 2013 with 40 data sets",level.regional eu-official austria,cc-by,,,Niederösterreich,"48.2817813,15.7632457",AT,de,active,2013-04-12T14:40:05.157Z,,,,
nigeria_opendataforafrica,Open Data for Nigeria,http://nigeria.opendataforafrica.org/,African Development Bank Group,African Development Bank Group,,,Open data portal for Nigeria,africa,other-at,,,Nigeria,"9.6000359,7.9999721",nga,en,active,2013-08-29T08:00:55.367Z,,,,
north_devon_council,North Devon Council Open Data,https://www.northdevon.gov.uk/council/data-protection-and-freedom-of-information/publication-scheme/open-data/,"Vicky Eagle, North Devon Council","Vicky Eagle, North Devon Council",,,Catalogue of open data published by North Devon Council,ctic level.regional eu-official,,,,North Devon District,"51.061456,-3.923923715",GB,en,active,2011-06-27T18:14:39.21Z,,,,
north-dakota-gis-hub,North Dakota GIS Hub,http://www.nd.gov/gis/,State of North Dakota,State of North Dakota,,,,unitedstates,,,,"North Dakota, United States","47.6201461,-100.540737",US,en,active,2011-10-21T16:07:42.573Z,,,,
north-gyeongsang-province,경상북도 공공데이터포털시스템,http://data.gb.go.kr/,North Gyeongsang Province,North Gyeongsang Province,,Government,경상북도 공공데이터포털시스템,province southkorea,,,,North Gyeongsang,"36.2500, 128.7500",KR,ko,active,,,,,
north-jeolla-province,전라북도 공공데이터포털,http://opendata.go.kr/,North Jeolla Province,North Jeolla Province,,Government,전라북도 공공데이터포털,province southkorea,,,,North Jeolla,"35.8167, 127.1500",KR,ko,active,,,,,
north-okanagan-bc,"Regional District of North Okanagan, British Columbia",http://www.rdno.ca/index.php/maps/digital-data,Regional District of North Okanagan,Regional District of North Okanagan,,,You may send feedback via [email](gistech@rdno.ca) or [webform](http://www.rdno.ca/index.php/maps/interactive-mapping-application-feedback). Uses its [own restrictive license](http://www.rdno.ca/index.php/maps/digital-data-terms-of-use).,canada,other-closed,,,"Regional District of North Okanagan, BC","50.37476565,-118.9638464",CA,en,active,2012-08-27T14:08:53.823Z,,,,
nosdonnees_fr,NosDonnées.fr,http://www.nosdonnees.fr,Regards Citoyens,Regards Citoyens,,,"A community driven catalogue for citizen based open data in France, relying on CKAN and operated by [Regards Citoyens](http://www.regardscitoyens.org/).",ckan publicdata-eu france,odc-odbl,,,France,"46.603354,1.8883335",FR,fr,active,2011-09-30T16:15:12.303Z,,,,
nottingham-city-council,Open Data Nottingham,http://www.opendatanottingham.org.uk/,Nottingham City Council,Nottingham City Council,,Government,Open Data Nottingham has been created to support and facilitate Nottingham City Council's commitment to freeing up Nottingham's data.,city unitedkingdom,,,,"Nottingham, England","52.956422,-1.159767",UK,en,active,,,,,
nsw_gov_au,New South Wales State (Australia) Open Data Catalog,http://data.nsw.gov.au,NSW Department of Finance and Services,NSW Department of Finance and Services,,,New South Wales State (Australia) Open Data Catalog,ctic australia,other-nc,,,New South Wales,"-31.8759835,147.2869493",AU,en,active,2011-06-27T18:14:31.09Z,,,,
ny_state,New York Senate,http://www.nysenate.gov/opendata,State of New York,State of New York,,,Senate of New York Open Data,ctic unitedstates,,,,"New York, United States","42.681040,-73.768365",US,en,active,2011-06-27T18:14:35.083Z,,,,
nyc_gov,"New York, New York",http://nycopendata.socrata.com/,City of New York,City of New York,,,New York City OpenData! A catalog which supplies many sets of public data produced by City agencies,ctic unitedstates,,,,"New York, New York","40.7305991,-73.9865812",US,en,active,2011-06-27T18:14:33.098Z,,,,
oakville_on,"Oakville, Ontario",http://oakville.ca/data/,Town of Oakville,Town of Oakville,,,,canada,,,,"Oakville, Ontario","43.4474108,-79.6665485",CA,en,active,2014-02-14T22:17:00.878Z,,,,
